,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
3110,Serkyzzlol,15879,10177,2365,1235,36545270,5346,106,3600,885
3111,Mheidle,15329,12574,1788,1405,38789493,5644,416,3193,966
3112,x-Portooos,11374,10743,1393,1138,33574122,4106,203,2531,821
3113,frjgger,3419,2307,392,232,9387061,1434,39,624,199
3114,R6-Les,17762,11405,2335,1178,38901302,7248,228,3513,776
3115,X-Omer-_-Ahmed-X,12860,11962,1502,1409,32093474,5166,261,2911,843
3116,wComPliCated,24636,25076,3597,2317,78338324,9123,126,5914,1839
3117,SAANGUUUUUUUUUU,17685,12897,2477,1211,41656591,7321,480,3688,998
3118,xToMe--,29351,24861,2945,2307,76669102,11687,659,5252,1706
3119,ySiiix-,6625,5707,679,575,18694205,2415,23,1254,401
3120,cLouV-,8084,6055,810,642,18929893,3138,96,1452,445
3121,qYuGiMx,16559,14741,1785,1326,45151322,7370,248,3111,1018
3122,BulletProofV2,6827,6087,844,725,17302370,2851,84,1569,444
3123,iRikyy-,13786,12181,1544,1347,38216828,5954,98,2891,958
3124,AnxiousMigue,1489,992,200,67,3862872,638,8,267,81
3125,Fabregxs,8954,9514,1497,1391,31745807,3430,92,2888,811
3126,Mohammedsslayer,29958,25239,3358,2923,69328477,11212,553,6281,2053
3127,InsTinct_-Karot_,23466,19627,3203,1923,63701785,9241,167,5126,1574
3128,ButterBlitZz,8162,9149,1153,999,24048099,2827,72,2152,656
3129,Sevarne,2413,1582,281,83,5759696,997,18,364,116
3130,BK_-202,39345,28606,3525,3025,87144876,16424,789,6550,2102
3131,DR1MER-,22798,19636,2499,2129,55324024,8634,256,4628,1449
3132,YouGotPeeked-,27240,21449,2850,2477,64871868,10615,853,5327,1621
3133,Nelqs_,19231,15222,2380,1851,50669390,7836,207,4231,1115
3134,fiqtn,6104,6289,727,540,17949847,2650,81,1267,415
3135,Zyuzy,18640,15709,2286,1936,45669575,6255,686,4222,1185
3136,Fljcker,8575,7377,1029,826,25642352,3317,83,1855,622
3137,LST_Boost,16584,17069,2401,2011,50739378,5985,358,4412,1366
3138,aG-IVursy,13034,11797,1850,1371,34867654,4895,486,3221,876
3139,assett--,22917,16764,2423,2028,56794851,8697,495,4451,1269
3140,HowToTutorial_,1117,1151,156,107,3401918,433,10,263,81
3141,frost32018963,14768,13038,1756,1560,44440794,5634,272,3316,1043
3142,GloryHD7,1800,1362,199,145,4468768,762,34,344,92
3143,GhosTz_Xl,16089,15337,1795,1547,41482928,5786,224,3342,1085
3144,MuhMiotto,19382,14979,2088,1461,46903726,7206,279,3549,1148
3145,CaiooZ-_,31939,22372,3916,2275,82103971,12615,438,6191,1747
3146,Purriify,8200,6075,775,536,20378045,2983,113,1311,405
3147,TCS_Hxmeboy,36080,31925,3845,3339,90615049,13431,1271,7184,2242
3148,WaleedHa-,33810,24493,3938,3055,86969098,11943,774,6993,2093
3149,M_S_i_Q,4844,4138,609,347,14607068,1898,66,956,301
3150,Red-_SashaIX,14467,11925,1742,1070,37116062,6250,129,2812,921
3151,Sobota1791,22272,19632,2522,1729,55992414,9334,356,4251,1348
